date,state,city,killed,injured,incident,victims,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2013-06-15,Rhode Island,Providence,1,3,http://www.gunviolencearchive.org/incident/488992,4,"41.8173, -71.4516",Congressional District: 2,NA,NA,NA,NA
2013-06-14,North Carolina,High Point,0,5,http://www.gunviolencearchive.org/incident/487715,5,"35.9689, -79.9787",Congressional District: 12,NA,NA,NA,NA
2013-06-10,Illinois,Chicago,1,4,http://www.gunviolencearchive.org/incident/487670,5,"41.7904, -87.649",Congressional District: 7,NA,NA,NA,NA
2013-06-10,Missouri,Saint Louis,0,6,http://www.gunviolencearchive.org/incident/487659,6,"38.6647, -90.2506",Congressional District: 1,NA,NA,NA,NA
2013-06-09,Pennsylvania,York,0,4,http://www.gunviolencearchive.org/incident/487645,4,"39.955, -76.7412",Congressional District: 4,NA,NA,NA,NA
2013-06-07,California,Santa Monica,6,1,http://www.gunviolencearchive.org/incident/489581,7,"34.026, -118.461",Congressional District: 33,NA,AR-15,NA,44 Mag
2013-06-02,Georgia,Lagrange,0,7,http://www.gunviolencearchive.org/incident/487435,7,"33.0354, -85.0244",Congressional District: 3,NA,NA,NA,NA
2013-06-02,Virginia,Virginia Beach,0,7,http://www.gunviolencearchive.org/incident/487271,7,"36.8459, -76.1171",Congressional District: 2,NA,NA,NA,NA
2013-06-02,Indiana,Indianapolis,0,4,http://www.gunviolencearchive.org/incident/487266,4,"39.8401, -86.1289",Congressional District: 7,NA,NA,NA,NA
2013-06-01,California,Vallejo,2,2,http://www.gunviolencearchive.org/incident/489314,4,"38.1472, -122.24",Congressional District: 5,NA,NA,NA,NA
2013-06-01,Wisconsin,Milwaukee,0,4,http://www.gunviolencearchive.org/incident/487261,4,"43.092, -87.94",Congressional District: 4,NA,NA,NA,NA
2013-05-31,Georgia,Atlanta,0,4,http://www.gunviolencearchive.org/incident/487088,4,"33.749, -84.4211",Congressional District: 5,NA,NA,NA,NA
2013-05-29,Illinois,Chicago,0,4,http://www.gunviolencearchive.org/incident/487082,4,"41.8859, -87.6251",Congressional District: 7,NA,NA,NA,NA
2013-05-28,Tennessee,Memphis,1,3,http://www.gunviolencearchive.org/incident/487052,4,"35.0848, -89.9678",Congressional District: 9,NA,NA,NA,NA
2013-05-25,Virginia,Hampton,1,4,http://www.gunviolencearchive.org/incident/486998,5,"37.0377, -76.3859",Congressional District: 3,NA,NA,NA,NA
2013-05-25,Michigan,Flint,1,3,http://www.gunviolencearchive.org/incident/486977,4,"43.034, -83.7182",Congressional District: 5,NA,NA,NA,NA
2013-05-24,California,Bakersfield,2,2,http://www.gunviolencearchive.org/incident/486971,4,"35.3998, -118.952",Congressional District: 23,NA,NA,NA,NA
